timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712864148,True,success,2.82,448961389.7142857,470374400.0,664211456,0,/experiments/comparison/deepinfer/1/BM1/analysis.json,deepinfer,trustbench,BM,BM1,analyze
1712864150,True,success,5.63,210533814.85714287,133120.0,741601280,0,/experiments/comparison/deepinfer/1/BM6/analysis.json,deepinfer,trustbench,BM,BM6,analyze
1712864156,True,success,3.22,334935296.0,386619392.0,716742656,0,/experiments/comparison/deepinfer/1/BM10/analysis.json,deepinfer,trustbench,BM,BM10,analyze
1712864159,True,success,4.63,249769984.0,130416640.0,689180672,0,/experiments/comparison/deepinfer/1/GC3/analysis.json,deepinfer,trustbench,GC,GC3,analyze
1712864164,True,success,10.05,195526328.32,0.0,690868224,0,/experiments/comparison/deepinfer/1/GC5/analysis.json,deepinfer,trustbench,GC,GC5,analyze
1712864174,True,success,2.82,414862774.85714287,455729152.0,690098176,0,/experiments/comparison/deepinfer/1/GC6/analysis.json,deepinfer,trustbench,GC,GC6,analyze
1712864177,True,success,3.62,306956515.5555556,404537344.0,640290816,0,/experiments/comparison/deepinfer/1/GC4/analysis.json,deepinfer,trustbench,GC,GC4,analyze
1712864181,True,success,3.02,382679995.73333335,440246272.0,744095744,0,/experiments/comparison/deepinfer/1/GC9/analysis.json,deepinfer,trustbench,GC,GC9,analyze
1712864184,True,success,5.42,214836413.62962964,0.0,691130368,0,/experiments/comparison/deepinfer/1/GC1/analysis.json,deepinfer,trustbench,GC,GC1,analyze
1712864189,True,success,7.24,173317233.7777778,0.0,694104064,0,/experiments/comparison/deepinfer/1/GC7/analysis.json,deepinfer,trustbench,GC,GC7,analyze
1712864196,True,success,4.42,265351726.54545453,155435008.0,704962560,0,/experiments/comparison/deepinfer/1/GC2/analysis.json,deepinfer,trustbench,GC,GC2,analyze
1712864201,True,success,2.82,412254793.14285713,449032192.0,696229888,0,/experiments/comparison/deepinfer/1/GC8/analysis.json,deepinfer,trustbench,GC,GC8,analyze
1712864204,True,success,2.82,411201536.0,449433600.0,689446912,0,/experiments/comparison/deepinfer/1/HP4/analysis.json,deepinfer,trustbench,HP,HP4,analyze
1712864207,True,success,2.62,443638075.0769231,461959168.0,691298304,0,/experiments/comparison/deepinfer/1/HP3/analysis.json,deepinfer,trustbench,HP,HP3,analyze
1712864209,True,success,3.22,348044288.0,431888384.0,640454656,0,/experiments/comparison/deepinfer/1/HP2/analysis.json,deepinfer,trustbench,HP,HP2,analyze
1712864212,True,success,2.62,437634599.38461536,460398592.0,678711296,0,/experiments/comparison/deepinfer/1/HP1/analysis.json,deepinfer,trustbench,HP,HP1,analyze
1712864215,True,success,2.62,449795623.38461536,467959808.0,696393728,0,/experiments/comparison/deepinfer/1/PD2/analysis.json,deepinfer,trustbench,PD,PD2,analyze
1712864218,True,success,2.62,448206690.4615384,468250624.0,689418240,0,/experiments/comparison/deepinfer/1/PD1/analysis.json,deepinfer,trustbench,PD,PD1,analyze
1712864220,True,success,2.82,459657216.0,473450496.0,687562752,0,/experiments/comparison/deepinfer/1/PD4/analysis.json,deepinfer,trustbench,PD,PD4,analyze
1712864223,True,success,2.62,446632566.1538461,465911808.0,691965952,0,/experiments/comparison/deepinfer/1/PD3/analysis.json,deepinfer,trustbench,PD,PD3,analyze
1712864226,True,success,55.72,11411833941.02527,10966290432.0,30567002112,0,/experiments/comparison/deepinfer/1/CIFAR10/analysis.json,deepinfer,trustbench,CIFAR10,CIFAR10,analyze
1712864283,True,success,2.62,418683667.6923077,445480960.0,639844352,0,/experiments/comparison/deepinfer/1/BM7/implications.csv,deepinfer,trustbench,BM,BM7,infer
1712864285,True,success,2.61,435954609.2307692,457879552.0,670810112,0,/experiments/comparison/deepinfer/1/BM2/implications.csv,deepinfer,trustbench,BM,BM2,infer
1712864288,True,success,2.61,437662326.1538461,456577024.0,678195200,0,/experiments/comparison/deepinfer/1/BM11/implications.csv,deepinfer,trustbench,BM,BM11,infer
1712864291,True,success,2.62,443537565.5384616,462831616.0,683872256,0,/experiments/comparison/deepinfer/1/BM3/implications.csv,deepinfer,trustbench,BM,BM3,infer
1712864293,True,success,2.62,444653883.0769231,466710528.0,679354368,0,/experiments/comparison/deepinfer/1/BM5/implications.csv,deepinfer,trustbench,BM,BM5,infer
1712864296,True,success,2.62,442246380.3076923,462569472.0,681984000,0,/experiments/comparison/deepinfer/1/BM12/implications.csv,deepinfer,trustbench,BM,BM12,infer
1712864299,True,success,2.62,446273378.4615384,466501632.0,686944256,0,/experiments/comparison/deepinfer/1/BM8/implications.csv,deepinfer,trustbench,BM,BM8,infer
1712864301,True,success,2.62,447563933.5384616,467652608.0,689250304,0,/experiments/comparison/deepinfer/1/BM9/implications.csv,deepinfer,trustbench,BM,BM9,infer
1712864304,True,success,2.82,404244187.4285714,455460864.0,666398720,0,/experiments/comparison/deepinfer/1/BM4/implications.csv,deepinfer,trustbench,BM,BM4,infer
1712864307,True,success,2.61,444939342.7692308,464998400.0,684347392,0,/experiments/comparison/deepinfer/1/BM1/implications.csv,deepinfer,trustbench,BM,BM1,infer
1712864309,True,success,2.61,443802545.2307692,466952192.0,679559168,0,/experiments/comparison/deepinfer/1/BM6/implications.csv,deepinfer,trustbench,BM,BM6,infer
1712864312,True,success,2.62,447839310.7692308,468021248.0,688390144,0,/experiments/comparison/deepinfer/1/BM10/implications.csv,deepinfer,trustbench,BM,BM10,infer
1712864315,True,success,2.61,444547072.0,464343040.0,684179456,0,/experiments/comparison/deepinfer/1/GC3/implications.csv,deepinfer,trustbench,GC,GC3,infer
1712864317,True,success,2.61,447215458.4615384,467771392.0,685346816,0,/experiments/comparison/deepinfer/1/GC5/implications.csv,deepinfer,trustbench,GC,GC5,infer
1712864320,True,success,2.62,444636553.84615386,465580032.0,681213952,0,/experiments/comparison/deepinfer/1/GC6/implications.csv,deepinfer,trustbench,GC,GC6,infer
1712864323,True,success,2.82,461204333.7142857,475879424.0,687824896,0,/experiments/comparison/deepinfer/1/GC4/implications.csv,deepinfer,trustbench,GC,GC4,infer
1712864325,True,success,2.62,443431069.5384616,466087936.0,678617088,0,/experiments/comparison/deepinfer/1/GC9/implications.csv,deepinfer,trustbench,GC,GC9,infer
1712864328,True,success,2.62,428375433.84615386,464912384.0,639041536,0,/experiments/comparison/deepinfer/1/GC1/implications.csv,deepinfer,trustbench,GC,GC1,infer
1712864331,True,success,2.62,427320556.3076923,465424384.0,636252160,0,/experiments/comparison/deepinfer/1/GC7/implications.csv,deepinfer,trustbench,GC,GC7,infer
1712864333,True,success,2.62,446073934.7692308,468217856.0,681881600,0,/experiments/comparison/deepinfer/1/GC2/implications.csv,deepinfer,trustbench,GC,GC2,infer
1712864336,True,success,2.61,446683923.6923077,464637952.0,688988160,0,/experiments/comparison/deepinfer/1/GC8/implications.csv,deepinfer,trustbench,GC,GC8,infer
1712864339,True,success,2.62,440622473.84615386,459911168.0,677822464,0,/experiments/comparison/deepinfer/1/HP4/implications.csv,deepinfer,trustbench,HP,HP4,infer
1712864341,True,success,2.62,442854793.84615386,468914176.0,672718848,0,/experiments/comparison/deepinfer/1/HP3/implications.csv,deepinfer,trustbench,HP,HP3,infer
1712864344,True,success,2.62,445837312.0,468860928.0,681414656,0,/experiments/comparison/deepinfer/1/HP2/implications.csv,deepinfer,trustbench,HP,HP2,infer
1712864347,True,success,2.62,442151857.2307692,462950400.0,680460288,0,/experiments/comparison/deepinfer/1/HP1/implications.csv,deepinfer,trustbench,HP,HP1,infer
1712864349,True,success,2.82,462412653.7142857,474013696.0,684666880,0,/experiments/comparison/deepinfer/1/PD2/implications.csv,deepinfer,trustbench,PD,PD2,infer
1712864352,True,success,2.62,443179008.0,463474688.0,681627648,0,/experiments/comparison/deepinfer/1/PD1/implications.csv,deepinfer,trustbench,PD,PD1,infer
1712864355,True,success,2.62,442286080.0,464310272.0,677224448,0,/experiments/comparison/deepinfer/1/PD4/implications.csv,deepinfer,trustbench,PD,PD4,infer
1712864357,True,success,2.62,440247217.2307692,462610432.0,675946496,0,/experiments/comparison/deepinfer/1/PD3/implications.csv,deepinfer,trustbench,PD,PD3,infer
1712864360,True,success,29.01,11273412721.77778,10872641536.0,30562799616,0,/experiments/comparison/deepinfer/1/CIFAR10/implications.csv,deepinfer,trustbench,CIFAR10,CIFAR10,infer
1712864390,True,success,10.66,746174734.490566,654827520.0,3857063936,0,/experiments/comparison/selfchecker/1/BM7/pred_labels_valid.npy,selfchecker,trustbench,BM,BM7,analyze
1712864401,True,success,7.24,755006919.1111112,752504832.0,4040695808,0,/experiments/comparison/selfchecker/1/BM2/pred_labels_valid.npy,selfchecker,trustbench,BM,BM2,analyze
1712864408,True,success,6.43,829897216.0,723269632.0,4684353536,0,/experiments/comparison/selfchecker/1/BM11/pred_labels_valid.npy,selfchecker,trustbench,BM,BM11,analyze
1712864415,True,success,9.05,1053206118.4,574697472.0,3998629888,0,/experiments/comparison/selfchecker/1/BM3/pred_labels_valid.npy,selfchecker,trustbench,BM,BM3,analyze
